ID,Sex,Session,Type,Fluid,Side,Concentration,Material,Intake,mls,Total Fluid,Preference
H8,Male,3,Normal,Alcohol,Right,0.1,Metal,10.361573799336027,3.2292132093098824,3.7992132093098827,84.99689360409602
H3,Female,3,Normal,Alcohol,Right,0.1,Metal,15.98531099673308,3.544010723424999,4.924010723425002,71.97406590861131
H4,Male,3,Normal,Alcohol,Right,0.1,Metal,10.55793643,3.0362727974328756,3.846272797432878,78.94065130948013
H5,Female,3,Normal,Alcohol,Right,0.1,Metal,8.137004924750183,2.0411064624883273,4.011106462488327,50.88636967322249
H6,Male,3,Normal,Alcohol,Right,0.1,Metal,8.313656321,2.5488443884804473,3.5688443884804433,71.41931984223342
H7,Female,3,Normal,Alcohol,Right,0.1,Metal,15.527279163015793,3.442463138226574,3.8724631382265735,88.89595627766461
H7,Female,6,Normal,Alcohol,Left,0.2,Metal,17.898567843411186,2.0747953450631202,4.094795345063116,50.66908527100369
H1,Female,4,Normal,Alcohol,Left,0.2,Metal,28.883038548054074,3.512772316889034,5.142772317,68.30503278072368
H2,Male,4,Normal,Alcohol,Left,0.2,Metal,14.77078468257615,2.311034419005947,4.431034419005952,52.155641334972955
H3,Female,4,Normal,Alcohol,Left,0.2,Metal,30.413700440019873,3.7181975985784548,4.818197598578456,77.16988609341092
H4,Male,4,Normal,Alcohol,Left,0.2,Metal,16.76470153012243,2.506188436610899,4.136188436610901,60.59173741766013
H5,Female,4,Normal,Alcohol,Left,0.2,Metal,18.721711909103984,2.454832116,4.044832116188543,60.69058110875898
H6,Male,4,Normal,Alcohol,Left,0.2,Metal,15.561206959675982,2.444560852104064,2.9045608521040647,84.16283825946435
H7,Female,4,Normal,Alcohol,Left,0.2,Metal,23.835221534047513,2.7629700387226634,4.192970038722663,65.89529648927251
H2,Male,3,Normal,Alcohol,Right,0.1,Metal,15.299258967534797,4.457938990210813,4.957938990210813,89.91516432559531
H8,Male,4,Normal,Alcohol,Left,0.2,Metal,14.752506238785948,2.3829332675972434,3.4729332675972397,68.61442717112395
H2,Male,5,Normal,Alcohol,Right,0.2,Metal,12.99829052066699,2.033710289,4.123710288725233,49.31748707676341
H3,Female,5,Normal,Alcohol,Right,0.2,Metal,29.15346423394174,3.5641286373113967,5.7441286373113964,62.04820369
H4,Male,5,Normal,Alcohol,Right,0.2,Metal,15.32183787384135,2.290491890837002,3.6104918908370025,63.43988464978961
H5,Female,5,Normal,Alcohol,Right,0.2,Metal,20.99338406543877,2.7526987746381946,3.9926987746381966,68.94331203053589
H6,Male,5,Normal,Alcohol,Right,0.2,Metal,10.199782713064964,1.602317197177459,3.382317197,47.373356896112256
H7,Female,5,Normal,Alcohol,Right,0.2,Metal,24.45546893456176,2.834868887,4.684868887313961,60.511168092461034
H8,Male,5,Normal,Alcohol,Right,0.2,Metal,11.95461712453341,1.930997648,3.9809976478805242,48.50537022820347
H1,Female,6,Normal,Alcohol,Left,0.2,Metal,18.157465753893657,2.208321778161237,4.2083217781612365,52.47511703171449
H2,Male,6,Normal,Alcohol,Left,0.2,Metal,13.260882248357275,2.0747953450631202,3.524795345063116,58.86285988118747
H3,Female,6,Normal,Alcohol,Left,0.2,Metal,30.917794922451183,3.779825183085286,5.329825183085283,70.91837073908029
H4,Male,6,Normal,Alcohol,Left,0.2,Metal,8.451058558217415,1.2633654823899145,3.4933654823899114,36.16470961193588
H5,Female,6,Normal,Alcohol,Left,0.2,Metal,16.606706798033635,2.1775079859078232,3.4375079859078284,63.345539700113726
H6,Male,6,Normal,Alcohol,Left,0.2,Metal,13.33817739400805,2.095337873232065,4.4453378732320665,47.13562687437772
H1,Female,5,Normal,Alcohol,Right,0.2,Metal,26.940611979032948,3.276533242946211,5.456533242946211,60.04789299472999
H1,Female,3,Normal,Alcohol,Right,0.1,Metal,10.468405161325267,2.426987286242334,4.296987286242331,56.481137238009104
H8,Male,6,Normal,Alcohol,Left,0.2,Metal,10.237730622605762,1.6536735175998105,3.4036735175998105,48.584962953965736
H8,Male,1,Normal,Alcohol,Right,0.03,Metal,2.072753036755193,2.1532641068984955,3.343264106898493,64.40604265919193
H1,Female,1,Normal,Alcohol,Right,0.03,Metal,1.6014851485148476,1.2376237623762345,3.7376237623762343,33.11258278
H2,Male,1,Normal,Alcohol,Right,0.03,Metal,3.180383072771753,3.0890284150366263,3.1090284150366223,99.35671221583992
H3,Female,1,Normal,Alcohol,Right,0.03,Metal,2.1240045537654746,1.5696691620381502,3.8296691620381482,40.987069525420125
H1,Female,2,Normal,Alcohol,Left,0.06,Metal,4.6805896557647015,1.8085740555505028,4.138574055550501,43.700415439586266
H2,Male,2,Normal,Alcohol,Left,0.06,Metal,3.744926481925895,1.8186778212239674,3.348677821223961,54.31032539759917
H3,Female,2,Normal,Alcohol,Left,0.06,Metal,6.918008634389468,2.556252715387026,3.866252715387021,66.11706227100933
H4,Male,2,Normal,Alcohol,Left,0.06,Metal,5.691628353587829,2.7280167318359583,3.4580167318359623,78.88963366546739
