ID,Sex,DOB,Session,Fluid,Side,Concentration,Material,Intake,mls,Total Fluid,Preference
H7,Female,6/18/24,6,Alcohol,Left,0.2,Metal,17.898567843411186,2.0747953450631202,4.094795345063116,50.66908527100369
H3,Female,6/18/24,6,Alcohol,Left,0.2,Metal,30.917794922451183,3.779825183085286,5.329825183085283,70.91837073908029
H2,Male,6/18/24,6,Alcohol,Left,0.2,Metal,13.260882248357275,2.0747953450631202,3.524795345063116,58.86285988118747
H1,Female,6/18/24,6,Alcohol,Left,0.2,Metal,18.157465753893657,2.208321778161237,4.2083217781612365,52.47511703171449
C1,Female,6/18/24,4,Alcohol,Left,0.2,Metal,20.09082903881761,2.608901077455602,4.428901077455603,58.90628469296072
C2,Male,6/18/24,4,Alcohol,Left,0.2,Metal,14.805035777492243,2.5883585492866565,4.228358549286657,61.21426362
C3,Female,6/18/24,4,Alcohol,Left,0.2,Metal,21.748133124734228,2.9067677359052637,4.466767735905266,65.07541711962683
C4,Male,6/18/24,4,Alcohol,Left,0.2,Metal,15.317527790875864,2.6294436056245467,4.879443605624546,53.88818517327633
C5,Female,6/18/24,4,Alcohol,Left,0.2,Metal,23.557698438399637,3.1635493380170283,5.013549338,63.099994130471295
H8,Male,6/18/24,5,Alcohol,Right,0.2,Metal,11.95461712453341,1.930997648,3.9809976478805242,48.50537022820347
H7,Female,6/18/24,5,Alcohol,Right,0.2,Metal,24.45546893456176,2.834868887,4.684868887313961,60.511168092461034
H6,Male,6/18/24,5,Alcohol,Right,0.2,Metal,10.199782713064964,1.602317197177459,3.382317197,47.373356896112256
H4,Male,6/18/24,6,Alcohol,Left,0.2,Metal,8.451058558217415,1.2633654823899145,3.4933654823899114,36.16470961193588
H5,Female,6/18/24,5,Alcohol,Right,0.2,Metal,20.99338406543877,2.7526987746381946,3.9926987746381966,68.94331203053589
H3,Female,6/18/24,5,Alcohol,Right,0.2,Metal,29.15346423394174,3.5641286373113967,5.7441286373113964,62.04820369
H2,Male,6/18/24,5,Alcohol,Right,0.2,Metal,12.99829052066699,2.033710289,4.123710288725233,49.31748707676341
H1,Female,6/18/24,5,Alcohol,Right,0.2,Metal,26.940611979032948,3.276533242946211,5.456533242946211,60.04789299472999
C6,Male,6/18/24,4,Alcohol,Left,0.2,Metal,16.27057014098506,3.0094803767499663,4.519480376749964,66.58907940461366
C7,Female,6/18/24,4,Alcohol,Left,0.2,Metal,32.09574766490226,3.944165408,4.914165408436819,80.26114468319142
C8,Male,6/18/24,4,Alcohol,Left,0.2,Metal,13.609050744446556,2.413747059850657,4.923747059850655,49.02256412667693
H8,Male,6/18/24,4,Alcohol,Left,0.2,Metal,14.752506238785948,2.3829332675972434,3.4729332675972397,68.61442717112395
H6,Male,6/18/24,4,Alcohol,Left,0.2,Metal,15.561206959675982,2.444560852104064,2.9045608521040647,84.16283825946435
H5,Female,6/18/24,4,Alcohol,Left,0.2,Metal,18.721711909103984,2.454832116,4.044832116188543,60.69058110875898
H4,Male,6/18/24,4,Alcohol,Left,0.2,Metal,16.76470153012243,2.506188436610899,4.136188436610901,60.59173741766013
H3,Female,6/18/24,4,Alcohol,Left,0.2,Metal,30.413700440019873,3.7181975985784548,4.818197598578456,77.16988609341092
H4,Male,6/18/24,5,Alcohol,Right,0.2,Metal,15.32183787384135,2.290491890837002,3.6104918908370025,63.43988464978961
H2,Male,6/18/24,4,Alcohol,Left,0.2,Metal,14.77078468257615,2.311034419005947,4.431034419005952,52.155641334972955
H5,Female,6/18/24,6,Alcohol,Left,0.2,Metal,16.606706798033635,2.1775079859078232,3.4375079859078284,63.345539700113726
H8,Male,6/18/24,6,Alcohol,Left,0.2,Metal,10.237730622605762,1.6536735175998105,3.4036735175998105,48.584962953965736
