ID,Sex,Session,Type,Fluid,Side,Concentration,Material,Intake,mls
C1,Female,1,Normal,Water,Left,,Plastic,44.37869822485207,0.75
C2,Male,1,Normal,Water,Left,,Plastic,112.49999999999999,2.5199999999999996
C3,Female,1,Normal,Water,Left,,Plastic,44.623655913978496,0.8300000000000001
C4,Male,1,Normal,Water,Left,,Plastic,43.096234309623405,1.0299999999999994
C5,Female,1,Normal,Water,Left,,Plastic,120.78651685393261,2.1500000000000004
C6,Male,1,Normal,Water,Left,,Plastic,17.479674796747954,0.4299999999999997
C7,Female,1,Normal,Water,Left,,Plastic,144.99999999999991,2.3199999999999985
C8,Male,1,Normal,Water,Left,,Plastic,4.8309178743961185,0.1
H1,Female,1,Normal,Water,Left,,Metal,136.6120218579235,2.5
H2,Male,1,Normal,Water,Left,,Metal,0.8695652173911314,0.02
H3,Female,1,Normal,Water,Left,,Metal,129.14285714285703,2.259999999999998
H4,Male,1,Normal,Water,Left,,Metal,59.91189427312772,1.3599999999999994
H5,Female,1,Normal,Water,Left,,Metal,77.77777777777808,1.5400000000000063
H6,Male,1,Normal,Water,Left,,Metal,70.66115702479343,1.7100000000000009
H7,Female,1,Normal,Water,Left,,Metal,95.42857142857152,1.6700000000000017
H8,Male,1,Normal,Water,Left,,Metal,48.37398373983731,1.1899999999999977
C1,Female,2,Normal,Water,Right,0,Plastic,121.8934911242604,2.0600000000000005
C2,Male,2,Normal,Water,Right,0,Plastic,55.80357142857143,1.25
C3,Female,2,Normal,Water,Right,0,Plastic,20.967741935483804,0.3899999999999988
C4,Male,2,Normal,Water,Right,0,Plastic,33.89121338912129,0.8099999999999987
C5,Female,2,Normal,Water,Right,0,Plastic,33.70786516853931,0.5999999999999996
C6,Male,2,Normal,Water,Right,0,Plastic,31.707317073170707,0.7799999999999994
C7,Female,2,Normal,Water,Right,0,Plastic,172.49999999999997,2.76
C8,Male,2,Normal,Water,Right,0,Plastic,10.144927536231926,0.21000000000000085
H1,Female,2,Normal,Water,Right,0,Metal,127.32240437158461,2.3299999999999983
H2,Male,2,Normal,Water,Right,0,Metal,66.52173913043453,1.529999999999994
H3,Female,2,Normal,Water,Right,0,Metal,74.85714285714258,1.3099999999999952
H4,Male,2,Normal,Water,Right,0,Metal,32.158590308370215,0.73
H5,Female,2,Normal,Water,Right,0,Metal,67.67676767676784,1.3400000000000034
H6,Male,2,Normal,Water,Right,0,Metal,66.52892562,1.6099999999999994
H7,Female,2,Normal,Water,Right,0,Metal,105.14285714285732,1.8400000000000034
H8,Male,2,Normal,Water,Right,0,Metal,36.17886178861791,0.8900000000000006
C1,Female,3,Normal,Water,Left,0,Plastic,20.118343195266267,0.33999999999999986
C2,Male,3,Normal,Water,Left,0,Plastic,18.749999999999996,0.41999999999999993
C3,Female,3,Normal,Water,Left,0,Plastic,17.204301075268734,0.3199999999999985
C4,Male,3,Normal,Water,Left,0,Plastic,37.656903765690394,0.9000000000000004
C5,Female,3,Normal,Water,Left,0,Plastic,83.70786516853934,1.4900000000000002
C6,Male,3,Normal,Water,Left,0,Plastic,16.66666666666667,0.41000000000000014
C7,Female,3,Normal,Water,Left,0,Plastic,148.75000000000006,2.380000000000001
C8,Male,3,Normal,Water,Left,0,Plastic,11.594202898550735,0.2400000000000002
H1,Female,3,Normal,Water,Left,0,Metal,102.18579234972664,1.8699999999999974
H2,Male,3,Normal,Water,Left,0,Metal,21.73913043478261,0.5
H3,Female,3,Normal,Water,Left,0,Metal,78.85714285714299,1.3800000000000026
H4,Male,3,Normal,Water,Left,0,Metal,35.68281938326001,0.8100000000000023
H5,Female,3,Normal,Water,Left,0,Metal,99.49494949494942,1.9699999999999989
H6,Male,3,Normal,Water,Left,0,Metal,42.14876033057835,1.019999999999996
H7,Female,3,Normal,Water,Left,0,Metal,24.57142857142855,0.4299999999999997
H8,Male,3,Normal,Water,Left,0,Metal,23.170731707317085,0.5700000000000003
C1,Female,4,Normal,Water,Right,0,Plastic,139.67391304347828,2.5700000000000003
C2,Male,4,Normal,Water,Right,0,Plastic,92.63565891472864,2.389999999999999
C3,Female,4,Normal,Water,Right,0,Plastic,106.5989847715736,2.0999999999999996
C4,Male,4,Normal,Water,Right,0,Plastic,69.91869918699182,1.7199999999999989
C5,Female,4,Normal,Water,Right,0,Plastic,94.79166666666669,1.8200000000000003
C6,Male,4,Normal,Water,Right,0,Plastic,86.48648649,2.24
C7,Female,4,Normal,Water,Right,0,Plastic,108.43373493975908,1.8000000000000007
C8,Male,4,Normal,Water,Right,0,Plastic,128.95752895752895,3.34
H1,Female,4,Normal,Water,Right,0,Metal,84.89583333,1.6299999999999955
H2,Male,4,Normal,Water,Right,0,Metal,85.82995951417023,2.1200000000000045
H3,Female,4,Normal,Water,Right,0,Metal,56.99481865284981,1.1000000000000014
H4,Male,4,Normal,Water,Right,0,Metal,69.06779661,1.6300000000000026
H5,Female,4,Normal,Water,Right,0,Metal,76.81159420289872,1.5900000000000034
H6,Male,4,Normal,Water,Right,0,Metal,18.548387096774228,0.46000000000000085
H7,Female,4,Normal,Water,Right,0,Metal,78.14207650273222,1.4299999999999997
H8,Male,4,Normal,Water,Right,0,Metal,42.74509803921554,1.0899999999999963
C1,Female,5,Normal,Water,Left,0,Plastic,110.86956521739125,2.039999999999999
C2,Male,5,Normal,Water,Left,0,Plastic,83.33333333333334,2.1500000000000004
C3,Female,5,Normal,Water,Left,0,Plastic,61.92893401015232,1.2200000000000006
C4,Male,5,Normal,Water,Left,0,Plastic,54.87804878048779,1.3499999999999996
C5,Female,5,Normal,Water,Left,0,Plastic,137.49999999999994,2.639999999999999
C6,Male,5,Normal,Water,Left,0,Plastic,84.94208494208499,2.200000000000001
C7,Female,5,Normal,Water,Left,0,Plastic,158.4337349397591,2.630000000000001
C8,Male,5,Normal,Water,Left,0,Plastic,97.68339768339766,2.5299999999999994
H1,Female,5,Normal,Water,Left,0,Metal,113.54166666666666,2.1799999999999997
H2,Male,5,Normal,Water,Left,0,Metal,84.61538461538476,2.0900000000000034
H3,Female,5,Normal,Water,Left,0,Metal,112.95336787564764,2.1799999999999997
H4,Male,5,Normal,Water,Left,0,Metal,55.93220338983051,1.3200000000000003
H5,Female,5,Normal,Water,Left,0,Metal,59.90338164251217,1.240000000000002
H6,Male,5,Normal,Water,Left,0,Metal,71.77419354838713,1.7800000000000011
H7,Female,5,Normal,Water,Left,0,Metal,101.09289617486347,1.8500000000000014
H8,Male,5,Normal,Water,Left,0,Metal,80.39215686274525,2.0500000000000043
C1,Female,6,Normal,Water,Right,0,Plastic,103.80434782608697,1.9100000000000001
C2,Male,6,Normal,Water,Right,0,Plastic,96.51162790697676,2.49
C3,Female,6,Normal,Water,Right,0,Plastic,63.45177664974619,1.25
C4,Male,6,Normal,Water,Right,0,Plastic,68.69918699,1.6899999999999995
C5,Female,6,Normal,Water,Right,0,Plastic,126.04166666666667,2.42
C6,Male,6,Normal,Water,Right,0,Plastic,104.24710424710422,2.6999999999999993
C7,Female,6,Normal,Water,Right,0,Plastic,134.93975903614458,2.24
C8,Male,6,Normal,Water,Right,0,Plastic,96.13899613899615,2.49
H1,Female,6,Normal,Water,Right,0,Metal,104.16666666666667,2
H2,Male,6,Normal,Water,Right,0,Metal,58.70445344129538,1.4499999999999957
H3,Female,6,Normal,Water,Right,0,Metal,80.31088082901539,1.5499999999999972
