ID,Sex,Session,Fluid,Concentration,Material,Intake
A1,Female,1,Alcohol,0.2,Metal,19.48404483
A2,Female,1,Alcohol,0.2,Metal,18.0618381
A3,Female,1,Alcohol,0.2,Metal,21.83720273
A4,Female,1,Alcohol,0.2,Metal,22.95766714
A1,Female,2,Alcohol,0.2,Plastic,8.1
A2,Female,2,Alcohol,0.2,Plastic,6.9
A3,Female,2,Alcohol,0.2,Plastic,3
A4,Female,2,Alcohol,0.2,Plastic,4.4
B1,Male,1,Alcohol,0.2,Metal,19.74460248
B2,Male,1,Alcohol,0.2,Metal,21.48315018
B3,Male,1,Alcohol,0.2,Metal,6.312
B4,Male,1,Alcohol,0.2,Metal,19.02658327
B1,Male,2,Alcohol,0.2,Plastic,3
B2,Male,2,Alcohol,0.2,Plastic,6.6
B3,Male,2,Alcohol,0.2,Plastic,2
B4,Male,2,Alcohol,0.2,Plastic,15.3
A1,Female,1,Alcohol,0.1,Metal,14.64033333
A2,Female,1,Alcohol,0.1,Metal,17.6736
A3,Female,1,Alcohol,0.1,Metal,19.02366667
A4,Female,1,Alcohol,0.1,Metal,16.34983333
A1,Female,2,Alcohol,0.1,Plastic,9.7
A2,Female,2,Alcohol,0.1,Plastic,11
A3,Female,2,Alcohol,0.1,Plastic,7.4
A4,Female,2,Alcohol,0.1,Plastic,4.3
B1,Male,1,Alcohol,0.1,Metal,
B2,Male,1,Alcohol,0.1,Metal,13.98957692
B3,Male,1,Alcohol,0.1,Metal,14.34545455
B4,Male,1,Alcohol,0.1,Metal,10.00452
B1,Male,2,Alcohol,0.1,Plastic,4.7
B2,Male,2,Alcohol,0.1,Plastic,7.2
B3,Male,2,Alcohol,0.1,Plastic,1
B4,Male,2,Alcohol,0.1,Plastic,16.6
E1,Female,1,Alcohol,0.1,Plastic,9.64059375
E2,Female,1,Alcohol,0.1,Plastic,14.0540625
E3,Female,1,Alcohol,0.1,Plastic,12.12568421
E4,Female,1,Alcohol,0.1,Plastic,1.619526316
E5,Female,1,Alcohol,0.1,Plastic,0.498315789
E6,Female,1,Alcohol,0.1,Plastic,12.624
E1,Female,2,Alcohol,0.1,Metal,18.4
E2,Female,2,Alcohol,0.1,Metal,18.4
E3,Female,2,Alcohol,0.1,Metal,17.4
E4,Female,2,Alcohol,0.1,Metal,20.4
E5,Female,2,Alcohol,0.1,Metal,15.1
E6,Female,2,Alcohol,0.1,Metal,11.9
D1,Male,1,Alcohol,0.1,Plastic,7.465153846
D2,Male,1,Alcohol,0.1,Plastic,3.5242
D3,Male,1,Alcohol,0.1,Plastic,2.16975
D4,Male,1,Alcohol,0.1,Plastic,3.876391304
D1,Male,2,Alcohol,0.1,Metal,7.6
D2,Male,2,Alcohol,0.1,Metal,8.6
D3,Male,2,Alcohol,0.1,Metal,12.5
D4,Male,2,Alcohol,0.1,Metal,17.3
E1,Female,1,Alcohol,0.2,Plastic,5.861142857
E2,Female,1,Alcohol,0.2,Plastic,4.375363636
E3,Female,1,Alcohol,0.2,Plastic,9.551052632
E4,Female,1,Alcohol,0.2,Plastic,7.973052632
E5,Female,1,Alcohol,0.2,Plastic,3.2349
E6,Female,1,Alcohol,0.2,Plastic,12.5451
E1,Female,2,Alcohol,0.2,Metal,15.8
E2,Female,2,Alcohol,0.2,Metal,14.7
E3,Female,2,Alcohol,0.2,Metal,13.9
E4,Female,2,Alcohol,0.2,Metal,16.5
E5,Female,2,Alcohol,0.2,Metal,15.5
E6,Female,2,Alcohol,0.2,Metal,12
D1,Male,1,Alcohol,0.2,Plastic,1.052
D2,Male,1,Alcohol,0.2,Plastic,1.9988
D3,Male,1,Alcohol,0.2,Plastic,6.69072
D4,Male,1,Alcohol,0.2,Plastic,2.469913043
D1,Male,2,Alcohol,0.2,Metal,7.4
D2,Male,2,Alcohol,0.2,Metal,7.7
D3,Male,2,Alcohol,0.2,Metal,12.3
D4,Male,2,Alcohol,0.2,Metal,1.6
