ID,Sex,Animal Weight,Material,Session,Cohort,Fluid,Concentration,Start,Stop,Leak,Diff,Intake,mls,mlskg
1A,F,20,Metal,1,1,Water,,54.04,52.91,,1.1300000000000026,56.50000000000013,1.1300000000000026,
2A,F,19,Metal,1,1,Water,,54.46,52.47,,1.990000000000002,104.73684210526326,1.990000000000002,
3A,F,18,Metal,1,1,Water,,54.57,52.18,,2.3900000000000006,132.7777777777778,2.3900000000000006,
4A,F,18,Metal,1,1,Water,,53.84,51.53,,2.3100000000000023,128.33333333333346,2.3100000000000023,
6A,M,24,Metal,1,1,Water,,54.94,51.67,,3.269999999999996,136.24999999999983,3.269999999999996,
7A,M,25,Metal,1,1,Water,,51.26,48.51,,2.75,110,2.75,
2B,F,18,Plastic,1,1,Water,,16.19,12.88,,3.3100000000000005,183.88888888888889,3.3100000000000005,
4B,F,19,Plastic,1,1,Water,,16.04,13.66,,2.379999999999999,125.26315789473679,2.379999999999999,
6B,M,24,Plastic,1,1,Water,,16.8,14.09,,2.710000000000001,112.9166666666667,2.710000000000001,
1A,F,20,Metal,2,1,Quinine,10,48.71,46.03,,2.6799999999999997,138.34651120391766,,133.99956530541016
2A,F,19,Metal,2,1,Quinine,10,52.61,51.43,,1.1799999999999997,64.11974989,,62.10506169
3A,F,18,Metal,2,1,Quinine,10,54.1,52.67,,1.4299999999999997,82.02135614494287,,79.44418672750268
4A,F,18,Metal,2,1,Quinine,10,53.02,51.56,,1.4600000000000009,83.74208389623544,,81.11084798752029
5A,M,26,Metal,2,1,Quinine,10,55.9,53.38,,2.519999999999996,100.06693692131799,,96.92276250563519
6A,M,24,Metal,2,1,Quinine,10,55.13,54.01,,1.1200000000000045,48.18037703619043,,46.66651528049129
7A,M,25,Metal,2,1,Quinine,10,51.2,49.14,,2.0600000000000023,85.07278002,,82.39973269526723
1A,F,20,Metal,2,1,Water,,48.48,44.89,,3.5899999999999963,179.4999999999998,3.5899999999999963,
2A,F,19,Metal,2,1,Water,,50.61,47.77,,2.8399999999999963,149.47368421052613,2.8399999999999963,
3A,F,18,Metal,2,1,Water,,53.51,50.54,,2.969999999999999,164.99999999999991,2.969999999999999,
4A,F,18,Metal,2,1,Water,,52.96,48.78,,4.18,232.22222222222217,4.18,
6A,M,24,Metal,2,1,Water,,54.65,51.62,,3.030000000000001,126.25000000000004,3.030000000000001,
7A,M,25,Metal,2,1,Water,,53.15,50.81,,2.3399999999999963,93.59999999999985,2.3399999999999963,
1B,F,19,Plastic,2,1,Quinine,10,14.38,14.11,,0.27000000000000135,14.671468195230934,,14.210480216991723
2B,F,18,Plastic,2,1,Quinine,10,15.28,11.27,,4.01,230.00394275609855,,222.77705508901104
4B,F,19,Plastic,2,1,Quinine,10,15.36,14.4,,0.9599999999999991,52.16522024970968,,50.52615188263693
5B,M,24,Plastic,2,1,Quinine,10,15.62,13.53,,2.09,89.90802500503355,,87.08305083591642
6B,M,24,Plastic,2,1,Quinine,10,16,12.9,,3.0999999999999996,133.35640072516938,,129.16624765135927
1B,F,19,Plastic,2,1,Water,,14.56,11.26,,3.3000000000000007,173.68421052631584,3.3000000000000007,
2B,F,18,Plastic,2,1,Water,,14.97,14.64,,0.33000000000000007,18.333333333333336,0.33000000000000007,
4B,F,19,Plastic,2,1,Water,,14.06,10.51,,3.5500000000000007,186.84210526315795,3.5500000000000007,
5B,M,24,Plastic,2,1,Water,,16.33,13.12,,3.209999999999999,133.74999999999997,3.209999999999999,
