ID,Sex,Fluid,Concentration,Start,Stop,Percent,Intake,mls,mlskg,Total Fluid,Preference
1A,Female,Sucrose,0.003,54.86,52.96,0.3,0.43032681604110146,1.898101898101897,90.38580467,5.378101898101901,35.29315609977185
2A,Female,Sucrose,0.003,55.07,53.38,0.3,0.36536599763872446,1.6883116883116862,76.74144037780393,3.7683116883116847,44.80286738351253
3A,Female,Sucrose,0.003,54.83,51.93,0.3,0.6896553446553443,2.897102897102896,144.8551448551448,4.6771028971028965,61.94225273293489
4A,Female,Sucrose,0.003,55.71,53.73,0.3,0.4956506651243504,1.9780219780219823,104.10641989589381,4.128021978021981,47.91694396379616
5A,Male,Sucrose,0.003,55.86,53.62,0.3,0.394592075,2.237762238,82.88008288008297,3.937762237762243,56.82827207
6A,Male,Sucrose,0.003,54.79,52.28,0.3,0.4775268731268728,2.507492507492506,100.29970029970023,3.9174925074925024,64.00758910697942
7A,Male,Sucrose,0.003,53.47,51.74,0.3,0.31647314224237244,1.7282717282717253,66.47198955,4.0982717282717225,42.170745203382424
1B,Female,Sucrose,0.003,17.23,16.1,0.3,0.2559312116454971,1.128871128871128,53.75576804148228,3.5588711288711297,31.71992151424726
2B,Female,Sucrose,0.003,18.58,15.66,0.3,0.694411588,2.9170829170829156,145.85414585414577,3.847082917082917,75.82583947254295
3B,Female,Sucrose,0.003,18.29,15.07,0.3,0.8508391608391604,3.216783216783216,178.71017871017867,3.586783216783217,89.68435008091086
4B,Female,Sucrose,0.003,17.64,14.96,0.3,0.6069872984158697,2.6773226773226773,127.49155606298463,4.557322677322676,58.74770927775393
5B,Male,Sucrose,0.003,15.41,14,0.3,0.26825214785214785,1.4085914085914089,56.34365634365635,2.3285914085914072,60.49113654694288
6B,Male,Sucrose,0.003,18.33,16.5,0.3,0.36266358641358615,1.8281718281718267,76.17382617382611,4.148171828171827,44.07174784217014
7B,Male,Sucrose,0.003,15.96,13.2,0.3,0.5469680319680322,2.757242757242759,114.88511488511496,3.0272427572427585,91.08099278282134
1A,Female,Water,,55.42,51.94,,165.7142857142859,3.480000000000004,,,
2A,Female,Water,,54.43,52.35,,94.54545454545448,2.0799999999999983,,,
3A,Female,Water,,55.19,53.41,,89.00000000000006,1.7800000000000011,,,
4A,Female,Water,,55.65,53.5,,113.15789473684204,2.1499999999999986,,,
5A,Male,Water,,55.78,54.08,,62.96296296296307,1.7000000000000028,,,
6A,Male,Water,,55.51,54.1,,56.399999999999864,1.4099999999999966,,,
7A,Male,Water,,54.73,52.36,,91.15384615384605,2.3699999999999974,,,
1B,Female,Water,,17.17,14.74,,115.71428571428578,2.4300000000000015,,,
2B,Female,Water,,16.03,15.1,,46.50000000000007,0.9300000000000015,,,
3B,Female,Water,,17.93,17.56,,20.555555555555607,0.37,,,
4B,Female,Water,,17.86,15.98,,89.52380952380948,1.879999999999999,,,
5B,Male,Water,,17.24,16.32,,36.799999999999926,0.9199999999999982,,,
6B,Male,Water,,17.09,14.77,,96.66666666666667,2.3200000000000003,,,
7B,Male,Water,,17.12,16.85,,11.249999999999982,0.2699999999999996,,,
1A,Female,Sucrose,0.01,54.73,52.12,1,1.968300537590721,2.604556476963147,124.02649890300698,4.754556476963145,54.78021955534204
2A,Female,Sucrose,0.01,54.56,52.62,1,1.3965267137137964,1.9359538564400454,87.99790256545661,3.815953856440048,50.73315687957823
3A,Female,Sucrose,0.01,54.83,53.46,1,1.0848277100859185,1.3671426718159023,68.35713359079512,3.9571426718158986,34.54873339678027
4A,Female,Sucrose,0.01,55.44,53.8,1,1.366974602029128,1.6365795487431276,86.13576572,4.416579548743129,37.05536220238274
5A,Male,Sucrose,0.01,56.09,53.87,1,1.3021451832337119,2.2153698769571655,82.05073618359872,3.885369876957167,57.01824915295157
6A,Male,Sucrose,0.01,54.93,53.62,1,0.8298536059635377,1.3072678102765245,52.29071241106098,3.5872678102765256,36.44187943067884
7A,Male,Sucrose,0.01,52.07,50.3,1,1.0781274827917362,1.7663084154117925,67.93493905,4.066308415,43.437640113998114
1B,Female,Sucrose,0.01,15.6,13.31,1,1.7269763337481798,2.285223882086439,108.82018486125898,3.805223882,60.05491274362099
2B,Female,Sucrose,0.01,15.02,12.64,1,1.8845912043828392,2.3750361743955124,118.75180871977562,4.385036174395513,54.16229376312766
3B,Female,Sucrose,0.01,15.81,12.31,1,3.0793973927824183,3.4927002564639906,194.03890313688834,4.2127002564639895,82.90882436045082
4B,Female,Sucrose,0.01,16.06,14.83,1,0.9275899085197642,1.227434661557344,58.44926959796876,4.257434661557345,28.830381653076397
5B,Male,Sucrose,0.01,16.47,14.3,1,1.3746429961380704,2.1654741590076725,86.61896636,2.4854741590076728,87.12519304051986
6B,Male,Sucrose,0.01,15.71,14.01,1,1.1217804787993102,1.6964544102825108,70.68560042843795,2.9464544102825108,57.57612961402827
7B,Male,Sucrose,0.01,15.54,14.95,1,0.38932381323034854,0.5887694718039297,24.53206132516374,2.828769471803932,20.813625064628052
1A,Female,Water,,51.94,49.79,,102.38095238095231,2.1499999999999986,,,
2A,Female,Water,,52.35,50.47,,85.45454545454558,1.8800000000000026,,,
3A,Female,Water,,53.41,50.82,,129.4999999999998,2.5899999999999963,,,
4A,Female,Water,,53.5,50.72,,146.31578947368428,2.780000000000001,,,
5A,Male,Water,,54.08,52.41,,61.85185185185192,1.6700000000000017,,,
6A,Male,Water,,54.1,51.82,,91.20000000000005,2.280000000000001,,,
7A,Male,Water,,52.36,50.06,,88.46153846153834,2.299999999999997,,,
1B,Female,Water,,17.19,15.67,,72.38095238095244,1.5200000000000014,,,
2B,Female,Water,,15.1,13.09,,100.49999999999999,2.01,,,
3B,Female,Water,,17.56,16.84,,39.99999999999993,0.7199999999999989,,,
4B,Female,Water,,15.98,12.95,,144.28571428571433,3.030000000000001,,,
5B,Male,Water,,16.32,16,,12.800000000000011,0.3200000000000003,,,
6B,Male,Water,,16.96,15.71,,52.083333333333336,1.25,,,
7B,Male,Water,,16.85,14.61,,93.33333333333341,2.240000000000002,,,
1A,Female,Sucrose,0.03,54.46,51.48,3,6.689789896412276,2.950757988335598,140.51228515883798,5.690757988,51.851756732298135
2A,Female,Sucrose,0.03,54.41,51.88,3,5.421423691219997,2.5051737283520255,113.87153310691025,4.255173728352025,58.87359455291259
3A,Female,Sucrose,0.03,54.97,50.58,3,10.347847828024278,4.346922002950758,217.3461001475379,8.046922002950762,54.01968605333525
